MMB	C3706	C0205833
AIS	C4123	C0334276
AASTR	C9477	C0334579
FL	C3209	C0024301
VIMT	C4286	C0334520
KIDNEY	C12415	C0022646
MDEP	C4327	C0334596
PAOS	C8969	C0206642
PRSCC	C6766	C1300585
DSTAD	C9159	C0279635
SECOS	C53704	C1710042
ARMS	C3749	C0206655
PT	C7575	C0238031
MSCHW	C6970	C1306247
SCST	C4862	C0600113
MBC	C5164	C1334708
SCCE	C7982	C0279674
AWDNET	C96422	C3272767
ROCY	C4526	C0346255
VMM	C27394	C2004576
LAM	C38153	C0349649
CHDM	C2947	C0008487
ACPP	C53686	C1266176
PSTAD	C5472	C1333785
MEL	C3224	C0025202
CABC	C40213	C1516403
SCCO	C27390	C2212006
MFS	C6496	C0334454
GNBL	C3790	C0206718
CM	C4550	C0346360
PRCC	C6975	C1306837
BLPT	C5316	C1332592
SELT	C4944	C0748616
LUPC	C45542	C1711397
VMGCT	C4290	C0334524
GCLC	C4452	C0345960
UASC	C4519	C0346202
PXA	C4323	C0334586
EPM	C3017	C0014474
OFMT	C6582	C1266128
PACT	C41247	C1518872
LUSC	C3493	C0149782
FLC	C4131	C0334287
CMC	C60641	C1880119
SRAP	C43554	C1711320
ATM	C4723	C0431122
MASCC	C40358	C1519487
CHOM	C6908	C1370510
LUNG	C12468	C0024109
PCNSL	C9301	C0280803
LXSC	C4044	C0280324
ADRENAL_GLAND	C12666	C0001625
RHM	C6909	C0259786
WDLS	C4250	C1266129
PEMESO	C7633	C1377610
HNSC	C34447	C1168401
AFX	C4246	C0346053
DESM	C37257	C0334439
MBOV	C40036	C0279664
OEC	C8108	C0346183
SCLC	C4917	C0149925
PMA	C40315	C1519086
PSCC	C7729	C0238348
ACBC	C5130	C1332167
CEAIS	C4029	C0279672
ODYS	C8106	C0346185
OPHSC	C8181	CL497390
PD	C3301	C1704323
SUBE	C3795	C0206725
ARMM	C4639	C0349538
TISSUE	C12801	C0040300
FIOS	C4020	C0279602
HGSOC	C105555	C3642254
THHC	C4946	C0749424
